"","gsm","gse","gsm_title","platform","blood.subgroup","predsex","predage","predcell.CD8T","predcell.CD4T","predcell.NK","predcell.Bcell","predcell.Mono","predcell.Gran","glint.epi.pc1","glint.epi.pc2"
"GSM3440518.1607013450.hlink.GSM3440518_6057825006_R01C02","GSM3440518","GSE121633","ERC45KI2442 genomic DNA from whole blood","hm450k","whole_blood","F",59.934,"0","0.145","0.04","0","0.09","0.702",5.265233,-0.2989615
"GSM3440519.1607013450.hlink.GSM3440519_6929806014_R01C01","GSM3440519","GSE121633","ERC45KI2461 genomic DNA from whole blood","hm450k","whole_blood","F",58.906,"0.058","0.166","0.136","0.034","0.091","0.5",-19.32385,4.923208
"GSM3440520.1607013450.hlink.GSM3440520_6929806014_R02C01","GSM3440520","GSE121633","ERC45KI2462 genomic DNA from whole blood","hm450k","whole_blood","F",57.568,"0.049","0.135","0.115","0.022","0.096","0.564",-18.17161,1.859413
"GSM3440521.1607013450.hlink.GSM3440521_6929793057_R06C01","GSM3440521","GSE121633","ERC45KI2471 genomic DNA from whole blood","hm450k","whole_blood","F",56.123,"0.066","0.19","0.117","0.051","0.055","0.527",3.492672,2.693828
"GSM3440522.1607013450.hlink.GSM3440522_6929793057_R01C02","GSM3440522","GSE121633","ERC45KI2472 genomic DNA from whole blood","hm450k","whole_blood","F",61.45,"0.017","0.233","0.076","0.075","0.07","0.542",11.36616,2.468445
"GSM3440523.1607013450.hlink.GSM3440523_6057825046_R06C01","GSM3440523","GSE121633","ERC45KI2491 genomic DNA from whole blood","hm450k","whole_blood","F",67.826,"0.076","0.076","0.144","0.028","0.041","0.636",17.41606,4.190923
"GSM3440524.1607013450.hlink.GSM3440524_6042316021_R03C02","GSM3440524","GSE121633","ERC45KI2511 genomic DNA from whole blood","hm450k","whole_blood","F",51.418,"0.038","0.155","0.081","0.023","0.087","0.62",18.26946,6.237423
"GSM3440525.1607013450.hlink.GSM3440525_6929806013_R05C01","GSM3440525","GSE121633","ERC45KI2521 genomic DNA from whole blood","hm450k","whole_blood","F",56.669,"0","0.199","0.044","0.005","0.105","0.625",-16.85683,-4.186154
"GSM3440526.1607013450.hlink.GSM3440526_6929806013_R06C01","GSM3440526","GSE121633","ERC45KI2522 genomic DNA from whole blood","hm450k","whole_blood","F",56.11,"0","0.243","0.09","0.033","0.173","0.436",-31.39593,-5.883944
"GSM3440527.1607013450.hlink.GSM3440527_6929806013_R01C02","GSM3440527","GSE121633","ERC45KI2541 genomic DNA from whole blood","hm450k","whole_blood","F",58.912,"0.025","0.16","0.089","0.034","0.107","0.569",-18.15877,-5.63685
"GSM3440528.1607013450.hlink.GSM3440528_6929806013_R02C02","GSM3440528","GSE121633","ERC45KI2542 genomic DNA from whole blood","hm450k","whole_blood","F",63.944,"0.07","0.093","0.055","0.01","0.169","0.588",-23.03518,0.6433843
"GSM3440529.1607013450.hlink.GSM3440529_6057825027_R02C01","GSM3440529","GSE121633","ERC45KI2552 genomic DNA from whole blood","hm450k","whole_blood","F",37.47,"0.074","0.057","0.009","0.075","0.071","0.73",21.68998,-8.409496
"GSM3440530.1607013450.hlink.GSM3440530_6055432155_R04C02","GSM3440530","GSE121633","ERC45KI2562 genomic DNA from whole blood","hm450k","whole_blood","F",49.823,"0","0.218","0.069","0.019","0.08","0.577",-24.5819,-6.692756
"GSM3440531.1607013450.hlink.GSM3440531_6042308075_R02C02","GSM3440531","GSE121633","ERC45KI2582 genomic DNA from whole blood","hm450k","whole_blood","F",55.242,"0.05","0.145","0.057","0.064","0.063","0.648",21.65321,-5.002812
"GSM3440532.1607013450.hlink.GSM3440532_6929806010_R01C02","GSM3440532","GSE121633","ERC45KI2591 genomic DNA from whole blood","hm450k","whole_blood","F",69.522,"0.044","0.22","0.019","0.043","0.037","0.643",11.93017,-1.230109
"GSM3440533.1607013450.hlink.GSM3440533_6929806010_R02C02","GSM3440533","GSE121633","ERC45KI2592 genomic DNA from whole blood","hm450k","whole_blood","F",70.099,"0.058","0.259","0.014","0.038","0.04","0.599",12.0357,2.373984
"GSM3440534.1607013450.hlink.GSM3440534_6929742058_R06C01","GSM3440534","GSE121633","ERC45KI2601 genomic DNA from whole blood","hm450k","whole_blood","F",53.786,"0.049","0.068","0.085","0.053","0.114","0.635",-9.957459,-12.90215
"GSM3440535.1607013450.hlink.GSM3440535_6042308121_R02C02","GSM3440535","GSE121633","ERC45KI2632 genomic DNA from whole blood","hm450k","whole_blood","F",64.479,"0.034","0.195","0.083","0.046","0.065","0.603",25.10625,-1.602119
"GSM3440536.1607013450.hlink.GSM3440536_6929742080_R06C02","GSM3440536","GSE121633","ERC45KI2641 genomic DNA from whole blood","hm450k","whole_blood","F",77.703,"0.141","0.119","0.136","0.008","0.082","0.52",-15.48485,5.971541
"GSM3440537.1607013450.hlink.GSM3440537_6929742027_R01C01","GSM3440537","GSE121633","ERC45KI2642 genomic DNA from whole blood","hm450k","whole_blood","F",69.91,"0.019","0.266","0.073","0.013","0.082","0.541",-15.24356,-1.525729
